Session,stimuli_type,att_type,stimuli_time,Condition,y,subj_id
1,1,1,1500,1,0.935974448463433,42
2,1,1,1500,2,0.947986252775438,42
1,2,1,1500,3,0.948979302250933,42
2,2,1,1500,4,0.952196102557518,42
1,1,2,1500,5,0.962698386404646,42
2,1,2,1500,6,0.953145802017842,42
1,2,2,1500,7,0.963160576312825,42
2,2,2,1500,8,0.965829095225188,42
1,1,3,1500,9,0.95630608507146,42
2,1,3,1500,10,0.934342693045228,42
1,2,3,1500,11,0.909470838176039,42
2,2,3,1500,12,0.964617524859446,42
1,1,1,1600,1,0.900794194932793,42
2,1,1,1600,2,0.900797516667554,42
1,2,1,1600,3,0.900839437529513,42
2,2,1,1600,4,0.917250450825219,42
1,1,2,1600,5,0.92397841739987,42
2,1,2,1600,6,0.900820145857491,42
1,2,2,1600,7,0.925049527440195,42
2,2,2,1600,8,0.927984534220684,42
1,1,3,1600,9,0.933326254879925,42
2,1,3,1600,10,0.900713841574657,42
1,2,3,1600,11,0.900621936741198,42
2,2,3,1600,12,0.934369986974942,42
1,1,1,400,1,0.103088935360378,45
2,1,1,400,2,0.107626933047657,45
1,2,1,400,3,0.0302980713054808,45
2,2,1,400,4,0.25303181747628,45
1,1,2,400,5,0.10321616916508,45
2,1,2,400,6,0.103108772137886,45
1,2,2,400,7,0,45
2,2,2,400,8,0.103015100644385,45
1,1,3,400,9,0.324929865980655,45
2,1,3,400,10,0.402603779468178,45
1,2,3,400,11,0.158358804129372,45
2,2,3,400,12,0.237732733826196,45
1,1,1,500,1,0.174799351818097,45
2,1,1,500,2,0.204829960031171,45
1,2,1,500,3,0.0626798934748906,45
2,2,1,500,4,0.326582675722254,45
1,1,2,500,5,0.182187257082023,45
2,1,2,500,6,0.203162107359364,45
1,2,2,500,7,0.0431739661114822,45
2,2,2,500,8,0.180570877308789,45
1,1,3,500,9,0.381659502453487,45
2,1,3,500,10,0.486292956243352,45
1,2,3,500,11,0.194902589676206,45
2,2,3,500,12,0.307680005411744,45
1,1,1,600,1,0.273376625654191,45
2,1,1,600,2,0.326165000023489,45
1,2,1,600,3,0.125779364317629,45
2,2,1,600,4,0.421042893712483,45
1,1,2,600,5,0.288569061681038,45
2,1,2,600,6,0.325872277782801,45
1,2,2,600,7,0.118681253388171,45
2,2,2,600,8,0.283294631458925,45
1,1,3,600,9,0.456287463403821,45
2,1,3,600,10,0.58128914488317,45
1,2,3,600,11,0.253300627121903,45
2,2,3,600,12,0.396144642520007,45
1,1,1,700,1,0.391576873206212,45
2,1,1,700,2,0.461891928450783,45
1,2,1,700,3,0.216468210071734,45
2,2,1,700,4,0.529419138817558,45
1,1,2,700,5,0.414312698378691,45
2,1,2,700,6,0.461269417071584,45
1,2,2,700,7,0.222400711483605,45
2,2,2,700,8,0.403685163558122,45
1,1,3,700,9,0.5435540602621,45
2,1,3,700,10,0.680149845584028,45
1,2,3,700,11,0.330144830012047,45
2,2,3,700,12,0.496858907265654,45
1,1,1,800,1,0.519566923672024,45
2,1,1,800,2,0.600449862082504,45
1,2,1,800,3,0.3282898883617,45
2,2,1,800,4,0.642812392082991,45
1,1,2,800,5,0.548779013883089,45
2,1,2,800,6,0.597915295681917,45
1,2,2,800,7,0.346826768697381,45
2,2,2,800,8,0.532112605605949,45
1,1,3,800,9,0.636480037945096,45
2,1,3,800,10,0.774952592746468,45
1,2,3,800,11,0.419971976334012,45
2,2,3,800,12,0.602140329357169,45
1,1,1,900,1,0.646269718429286,45
2,1,1,900,2,0.730085550107213,45
1,2,1,900,3,0.452231898893539,45
2,2,1,900,4,0.751635616756437,45
1,1,2,900,5,0.680239975172528,45
2,1,2,900,6,0.724525459491742,45
1,2,2,900,7,0.482003233238793,45
2,2,2,900,8,0.658115972414491,45
1,1,3,900,9,0.727341822037818,45
2,1,3,900,10,0.85839321722436,45
1,2,3,900,11,0.515966161439753,45
2,2,3,900,12,0.703892751161565,45
1,1,1,1000,1,0.760948848302058,45
2,1,1,1000,2,0.84050326871285,45
1,2,1,1000,3,0.577949238253058,45
2,2,1,1000,4,0.846961017505822,45
1,1,2,1000,5,0.797592792019686,45
2,1,2,1000,6,0.831530505852571,45
1,2,2,1000,7,0.616885952088518,45
2,2,2,1000,8,0.771830242277505,45
1,1,3,1000,9,0.808789679634025,45
2,1,3,1000,10,0.924748807553894,45
1,2,3,1000,11,0.610875421870099,45
2,2,3,1000,12,0.794657709297233,45
1,1,1,1100,1,0.854718271329141,45
2,1,1,1100,2,0.924214718399503,45
1,2,1,1100,3,0.695204561704913,45
2,2,1,1100,4,0.921732958959694,45
1,1,2,1100,5,0.891937388688127,45
2,1,2,1100,6,0.912273973485197,45
1,2,2,1100,7,0.740868640475137,45
2,2,2,1100,8,0.865270055805834,45
1,1,3,1100,9,0.874877346539432,45
2,1,3,1100,10,0.970524145249265,45
1,2,3,1100,11,0.697961937645577,45
2,2,3,1100,12,0.868523328727569,45
1,1,1,1200,1,0.921681683515996,45
2,1,1,1200,2,0.97734360853461,45
1,2,1,1200,3,0.795244463644957,45
2,2,1,1200,4,0.971617396487238,45
1,1,2,1200,5,0.957702090342588,45
2,1,2,1200,6,0.963638342933605,45
1,2,2,1200,7,0.845173449754189,45
2,2,2,1200,8,0.93323687887899,45
1,1,3,1200,9,0.921795328853267,45
2,1,3,1200,10,0.994680543377613,45
1,2,3,1200,11,0.77180449282198,45
2,2,3,1200,12,0.921735849567245,45
1,1,1,1300,1,0.959498313552757,45
2,1,1,1300,2,0.999772514964456,45
1,2,1,1300,3,0.871855312517405,45
2,2,1,1300,4,0.995348721224469,45
1,1,2,1300,5,0.993117546139104,45
2,1,2,1300,6,0.986030965788749,45
1,2,2,1300,7,0.923850660854557,45
2,2,2,1300,8,0.97371048745137,45
1,1,3,1300,9,0.948178540245896,45
2,1,3,1300,10,0.998446261169482,45
1,2,3,1300,11,0.828817085095816,45
2,2,3,1300,12,0.952930778222164,45
1,1,1,1400,1,0.969310562051883,45
2,1,1,1400,2,0.994670308357006,45
1,2,1,1400,3,0.921927002152356,45
2,2,1,1400,4,0.994553227905873,45
1,1,2,1400,5,1,45
2,1,2,1400,6,0.982807145576665,45
1,2,2,1400,7,0.974235251345329,45
2,2,2,1400,8,0.987705828765476,45
1,1,3,1400,9,0.954967533958573,45
2,1,3,1400,10,0.984798957783477,45
1,2,3,1400,11,0.867423313291173,45
2,2,3,1400,12,0.962985682484786,45
1,1,1,1500,1,0.955113527972617,45
2,1,1,1500,2,0.967565482822788,45
1,2,1,1500,3,0.94547203861821,45
2,2,1,1500,4,0.97314127804311,45
1,1,2,1500,5,0.982964078218139,45
2,1,2,1500,6,0.959318465600659,45
1,2,2,1500,7,0.996839395527365,45
2,2,2,1500,8,0.978688986367848,45
1,1,3,1500,9,0.944907832581365,45
2,1,3,1500,10,0.957768909197326,45
1,2,3,1500,11,0.887908346503389,45
2,2,3,1500,12,0.954571917748304,45
1,1,1,1600,1,0.922757549387712,45
2,1,1,1600,2,0.925203278169408,45
1,2,1,1600,3,0.94516607621112,45
2,2,1,1600,4,0.936438485418158,45
1,1,2,1600,5,0.948297997445312,45
2,1,2,1600,6,0.921825317401816,45
1,2,2,1600,7,0.994780972450446,45
2,2,2,1600,8,0.951722794360813,45
1,1,3,1600,9,0.921843459331917,45
2,1,3,1600,10,0.921725228049197,45
1,2,3,1600,11,0.892035000552901,45
2,2,3,1600,12,0.931530215909889,45
1,1,1,400,1,0.0301685515172753,46
2,1,1,400,2,0.0868722382964648,46
1,2,1,400,3,0.0198068512193773,46
2,2,1,400,4,0.0869671959196857,46
1,1,2,400,5,0.0127144630538165,46
2,1,2,400,6,0.0129239906812005,46
1,2,2,400,7,0.0128041618327408,46
2,2,2,400,8,0.0127509893522625,46
1,1,3,400,9,0.0941096766580577,46
2,1,3,400,10,0.0210311408028218,46
1,2,3,400,11,0.17953039476166,46
